Author,Headline,Summary,Article links,Articles
Arshiya Chopra,"Doctors remove 1.5 kg jewellery, 90 coins from woman's stomach in WB","Over 1.5 kg jewellery and coins were removed from a 26-year-old mentally unstable woman's stomach at a government hospital in West Bengal's Rampurhat on Wednesday, a doctor said. Around 90 coins of ?5 and ?10 denominations and ornaments like chains, earrings, bangles, and watches were found in her stomach. The ornaments were mostly made of copper and brass, he added.",https://www.timesnownews.com/the-buzz/article/belly-locker-1-5-kg-jewellery-and-coins-removed-from-woman-s-stomach-in-bengal/458768?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Doctors at a government hospital in Rampurhat, West Bengal removed over 1.5 kilogram of jewellery and coins from the stomach of a mentally unstable woman on Wednesday.As many as 90 coins of denomination Rs 5 and Rs 10, and ornaments like chains, nose rings, earrings, bangles, anklets, and wrist bands were removed from the belly of the woman, doctor Siddharatha Biswas, head of the surgery department in the Rampurhat Government Medical College and Hospital told news agency PTI.The 26-year-old woman’s mother said she noticed ornaments had started disappearing from their village home. However, she had no idea her daughter was swallowing them at will.""My daughter is mentally unsound. For the past few days, she used to throw up every time after having a meal. We have noticed that ornaments are disappearing. But whenever we questioned her, she started crying,"" the mother said.Biswas said the ornaments recovered were mostly made of copper but some gold jewellery was also there. The woman’s mother added that the family used to keep a close watch on her daughter. However, she managed to swallow solid objects every time she was left alone. “She was not well for the past two months. We had taken her to various private doctors and she was on medication without any result,"" the mother told the news agency.There has been a sharp increase in medical cases where patients have been reported to swallow solid objects for reasons unknown.Last week, doctors at a hospital in Chhatarpur, Madhya Pradesh removed 30 solid objects, including razor blades and screwdrivers, from a man’s stomach after he complained of having severe abdomen pain. The 30-year-old man, identified as Yogesh Thakur, was admitted to the hospital on July 14. After his mother, Kusma Thakur, told doctors ""he would grab anything and eat it"", they immediately performed an X-Ray which revealed shocking results.The scans were performed at MPN Khare Surgical and Maternity Nursing Home and doctors were stunned to find objects like a knife, a screwdriver, razor blades and plastics inside Yogesh’s stomach."
Arshiya Chopra,"Rajiv Gandhi's killer, in jail for 28 years, gets a month's parole","Nalini Sriharan, a life convict in the Rajiv Gandhi assassination case, has been released on a month's parole to make arrangements for her daughter's wedding. During the term of her parole, she cannot speak to politicians or media. Sriharan, who was granted a 12-hour parole in 2016 for her father's funeral, has been in jail for 28 years.",https://indianexpress.com/article/india/nalini-parole-rajiv-gandhi-assassination-case-5850087/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Nalini Sriharan, one of the seven convicts in the Rajiv Gandhi assassination case, was released on parole Thursday from the Vellore central prison.  This is the first time Nalini, India’s longest-serving woman prisoner, has been granted ordinary parole of 30 days in her 28-year-long incarceration. The Madras High Court had granted Nalini parole earlier this month to attend her daughter’s wedding. Nalini will remain in Vellore town, which is around 140 kilometres from Chennai, where her family has hired a house at Sathuvachari for the wedding. She will live here for a month with her daughter Harithra Sriharan, mother Padmavati, sister Kalyani and brother Bhagyanathan, among other relatives. Nalini will not return to her house in Royapettah, in Chennai. Nalini was arrested in 1991 in the Rajiv Gandhi assassination case. She was sentenced to death by a TADA court and the Supreme Court. The death penalty, however, was commuted to life imprisonment by the Tamil Nadu government in 2000.Nalini had been granted emergency parole for 12-hours in 2016 to return home after her father’s death. However, this is the first time she is being given ordinary parole. In court, Nalini had said that she and her husband, Murugan, who is also serving time in connection with the case, could not do anything for their daughter’s life and education, but wanted to make arrangements for her marriage. Nalini had given birth to Harithra in prison.The division bench of Justice M M Sundresh and Justice M Nirmal Kumar had granted her parole on the condition that she would not meet political leaders, give interviews to the media or post on social media."
Arshiya Chopra,Priti Patel becomes Britain's 1st Indian-origin Home Secretary,"Priti Patel on Wednesday took charge as Britain's first Indian-origin Home Secretary in the newly unveiled Boris Johnson-led Cabinet. The 47-year-old has replaced Pakistani-origin Sajid Javid, who has been moved to the Treasury department as the first ethnic minority Chancellor of the Exchequer. Patel previously served as Secretary of State for International Development, but was forced to resign in 2017.",https://www.financialexpress.com/world-news/priti-patel-takes-charge-as-britains-first-indian-origin-home-secretary/1655596/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Patel had been a prominent member of the ""Back Boris"" campaign for the Conservative Party leadership and was widely tipped for the plum post in the prime minister's frontline team. Priti Patel, an ardent Brexiteer who was among the most vocal critics of Theresa May’s Brexit strategy, took charge as Britain’s first Indian-origin home secretary as part of Prime Minister Boris Johnson’s top team on Thursday. She replaces Pakistani-origin Sajid Javid, who moves to the Treasury department as the first ethnic minority Chancellor of the Exchequer. “I will do everything in my power to keep our country safe, our people secure, and also to fight the scourge of crime that we see on our streets. I look forward to the challenges that now lie ahead,” Patel said, in reference to her new job at the helm of the UK Home Office. Patel had been a prominent member of the “Back Boris” campaign for the Conservative Party leadership and was widely tipped for the plum post in the prime minister’s frontline team. “It is important that the cabinet should represent modern Britain as well as a modern Conservative Party,” she said, hours before her appointment was announced on Wednesday. A long-standing Eurosceptic, Patel had steered the “Vote Leave” campaign in the lead-up to the June, 2016 referendum in favour of Britain’s exit from the European Union (EU). The 47-year-old was first elected as a Conservative MP for Witham in Essex in 2010 and gained prominence in the then David Cameron-led Tory government as his Indian Diaspora Champion. She went on to be appointed to junior ministerial posts, treasury minister in 2014 and then employment minister after the 2015 general election, before May promoted her to the position of secretary of state in the Department for International Development (DfID) in 2016, until she was forced to quit the post in 2017. “With Boris Johnson leading the Conservative Party and as prime minister, the United Kingdom will have a leader who believes in Britain, will implement a new vision for the future of the country and a roadmap to move forward and thrive as a self-governing nation that re-establishes our ties with our friends and allies around the world such as India,” Patel told PTI after Johnson secured a landslide victory in the Tory leadership contest earlier this week. “He is committed to securing new and improved trading relationship with our friends in India and ensuring that the values we share — the rule of law, democracy, and dynamic entrepreneurial spirit — should be at the heart of one of our most important partners on the global stage,” Patel, who has been a champion of India-UK ties ever since her time as Indian Diaspora Champion, said. The Gujarati-origin politician, who is a prominent guest at all major Indian diaspora events in the UK, is seen as an avid supporter of Prime Minister Narendra Modi in the UK. As a member of the UK Parliament’s influential Foreign Affairs Committee (FAC), she was part of the team that recently released its damning report warning that the UK was falling behind in the race to engage with India at the end of a lengthy Global Britain and India parliamentary inquiry. “Our report calls for the government to look again at the relationship between the UK and India,” Patel said, in reference to the “Building Bridges: Reawakening UK-India ties” report released last month to mark the first-ever India Day in the UK Parliament. “This should be a special relationship based upon the living bridge between our two great countries and a partnership we should be nurturing. The report covers many of the missed opportunities where the UK should be proactively and bilaterally enhancing our ties. We are soon to have a new PM in the UK, which will provide a welcome change in how we engage with India’s re-elected PM Modi,” she said at the time. Patel once again returns as the seniormost British Indian member of the UK cabinet, having been forced to resign in November, 2017 as International Development secretary amid a scandal over allegedly failing to disclose meetings with officials in Israel without informing the UK Foreign Office. She had maintained that it was a private visit and Johnson, then the UK foreign secretary, spoke out to back her. Describing Patel as a “good friend” with whom he worked closely together for Global Britain, he had said it was “quite right that she meets with people and organisations overseas”. But Patel was effectively sacked by May, forcing her to the Parliament backbenches, from where she continued to voice her criticism of May’s Brexit plan. She was among the rebel Tory MPs who consistently voted against the former prime minister’s Withdrawal Agreement with the EU as a “bad deal for Britain”, which ultimately sealed May’s term at the top post."
Krishna Veera Vanamali,Atanu Chakraborty replaces SC Garg as Economic Affairs Secretary,"The government has appointed Atanu Chakraborty as the new Economic Affairs Secretary replacing Subhash Chandra Garg, who will be the new Power Secretary. Chakraborty, a 1985 batch Gujarat cadre IAS officer, was the Secretary, Department of Investment and Public Asset Management (DIPAM). Anil Kumar Khachi will take over from Chakraborty as the secretary in charge of the disinvestment department.",https://www.livemint.com/news/india/atanu-chakraborty-is-new-economic-affairs-secretary-garg-appointed-power-secy-1563979768943.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"In the first major bureaucratic reshuffle since Prime Minister Narendra Modi came back to power in May, the Centre on Wednesday changed the secretaries of 12 government departments. While finance secretary Subhash Chandra Garg was appointed as the power secretary, disinvestment secretary Atanu Chakraborty, a 1985 batch Gujarat cadre IAS officer, will replace Garg as the economic affairs secretary in the finance ministry. Garg is believed to be behind the budget proposal for overseas sovereign borrowing, which has faced severe criticism from several experts, including former Reserve Bank of India (RBI) governors. Garg was also at a loggerheads with the Bimal Jalan committee, set up to decide RBI’s economic capital framework, and had submitted a dissent note to the committee. Garg, a 1983 batch IAS officer of the Rajasthan cadre, will take over his responsibilities at the critical infrastructure ministry amid a crisis faced by distribution companies due to their poor financial health, leading to delays in payments to power generation utilities. Garg also assumes office at a time when a new power sector package is in the offing, comprising a new tariff policy and structural reforms. The power sector is reeling under bad loans worth about ₹1 trillion, with around 66 gigawatts (GW) facing various degrees of financial stress. Anil Kumar Khachi, a 1986 batch Himachal Pradesh IAS officer, will move from his home posting to take over as the disinvestment secretary in the department of investment and public asset management. The wide-ranging changes in the apex bureaucratic framework comes at a time when the National Democratic Alliance (NDA) government, in its second term, has set an ambitious task of making India a $5 trillion economy by 2025. The appointments committee of the cabinet headed by the Prime Minister finalized the postings on Wednesday. Posts of another 12 bureaucrats have been upgraded to the level of special secretary in rank, and pay of secretary. Power secretary Ajay Kumar Bhalla has been made the officer on special duty in the home ministry with immediate effect. He will take over from Rajiv Gauba as the home secretary, when he retires on 31 August. Bhalla, who will report directly to home minister Amit Shah, takes over at a critical time, with Shah set to rejig the ministry’s dealings in conflict areas, including Jammu and Kashmir, and Naxal-hit Chhattisgarh. Bhalla will have a fixed two-year tenure as home secretary. Bhalla and his team had put in place a successful template for the allocation of natural resources that is used as a primer for the allotment of other natural resources. The cheerful, straight-talking Bhalla has been an integral part of the NDA government’s plan to supply round-the-clock power to all. Airports Authority of India chairman Guruprasad Mohapatra will become the new secretary of the department for promotion of industry and internal trade. Mohapatra, a 1986 batch Gujarat cadre IAS officer, had earlier served as a joint secretary in the department of commerce. Anshu Prakash, who is currently serving as an additional secretary in the department of telecommunications, has been promoted as the DoT secretary, while Ravi Capoor from the Assam-Meghalaya cadre will become the textiles secretary. P.D. Vaghela, currently serving his home cadre in Gujarat, will be the secretary in the ministry of chemicals and fertilizers, while Anuradha Mitra, the member finance in the ministry of communications, will take over as the secretary, department of official language."
Krishna Veera Vanamali,India may launch $10-billion global bond sale in October,"India is reportedly considering an option to raise $10 billion in one go from its first overseas bond sale in October. The government would prefer to sell yen or euro-denominated debt so as to offer lower yields, reports added. Former RBI Governor Raghuram Rajan recently warned that India's plan to issue bonds overseas has enormous risks but no real benefit.",https://www.livemint.com/news/india/govt-may-launch-10-billion-global-bond-sale-in-october-1563971300274.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"India’s maiden overseas bond sale couldn’t have come at a better time with yields tumbling globally. The country is considering an option to raise $10 billion in one go from its first overseas bond sale as early as October, according to people with knowledge of the matter. The issuance of sovereign notes by Asia’s third-biggest economy is expected to price at a yield premium of about 90 basis points to 130 points over US Treasuries, according to a Bloomberg survey of foreign and local investors. That’s in line with sales by countries with similar credit ratings such as Indonesia. The novelty of a debut offering may also support demand for India’s debt, analysts say. India’s overall budget deficit is one of the highest in Asia, but that may not deter bond buyers desperate for extra returns at a time when about $13 trillion of global fixed-income assets, or around a quarter of the total, have negative yields. The deal will give global funds more access to Indian sovereign bonds, and may also let the country’s other issuers adjust debt sale prices based on the offshore sovereign bond as a benchmark. “We think an Indian sovereign Eurobond issue would be very well received in today’s markets,"" said Gregory Smith, fixed-income strategist at Renaissance Capital in London. “With US 10-year Treasuries yielding close to 2%, the search for yield continues, plus foreign investors would be looking to realize long-sought-after exposure to the Indian economy."" India’s debt sale would follow a slew of sovereign issuance by emerging market countries this year. Indonesia sold 3.4% bonds due 2029 at 130.50 basis points over Treasuries in June, while the Philippines issued 10-year notes at 110 basis points in January. Russia sold 2029 dollar bonds at a 3.95% yield, and Saudi Arabia issued 2 billion euros of bonds due in 2039 at 140 basis points over mid-swaps. “The very low and even negative yields in developed markets are indirectly positive for EM bonds,"" and that’s likely to result in strong demand for India’s sovereign offering, said Jan Dehn, the London-based head of research at Ashmore Group Plc. India “continues to place barriers to foreign investors in the domestic bond market, so dollar bonds are a second-best way to express a view,"" he said. The South Asian nation’s regulators have capped holdings of sovereign debt by overseas investors, who are allowed to own only about 6% of total outstanding bonds, while peers like Indonesia and South Korea have no restrictions. The announcement of the foreign-bond sale by the country’s finance minister Nirmala Sitharaman in the 5 July budget helped boost onshore sovereign notes as investors cheered the opening of a new avenue for the country to raise funds. The yield on benchmark 10-year bonds declined to the lowest in 2 1/2 years before paring some gains to trade at 6.46% on Wednesday. But the proposed issuance has also come under scrutiny, with former central bankers and some independent economists criticizing the move, saying India’s general budget deficit and a wider current-account deficit could make the nation vulnerable during episodes of global swings. The combined budget deficit of federal and state governments and state-run firms is about 8% of the gross domestic product. While the gap and growing stresses in the banking system are an area of concern, BNP Paribas Asset Management says Indian assets may still see good demand. “Sentiment has been improving lately, and, India credit metrics are overall good and improving. So the issuance should attract interest from all institutional investors,"" said Jean-Charles Sambor, London-based deputy head of emerging-market fixed income at BNP Paribas Asset Management."
Kanishka Pandey,Facebook fined $100 mn by US SEC over Cambridge Analytica scandal,"Facebook was fined $100 million by the US Securities and Exchange Commission (SEC) over misleading investors about the risks it faced from misuse of user data, particularly related to the Cambridge Analytica scandal. British political consultancy firm Cambridge Analytica had accessed 87 million users' data in 2014-15. Notably, Facebook was also fined a record $5 billion by the US FTC.",https://www.engadget.com/2019/07/24/facebook-sec-settlement/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Facebook isn't just settling with the FTC over the Cambridge Analytica data scandal. The social network has also agreed to pay the US Securities and Exchange Commission $100 million over charges of making ""misleading disclosures"" over the risk of abusing users' data. The SEC alleged that Facebook knew about the data breach in 2015, but continued to describe possible data breaches to investors in purely ""hypothetical"" terms. It also didn't have ""specific policies or procedures"" in effect to make accurate disclosures in light of the results of the investigation.As with the FTC fine, Facebook didn't have to admit guilt, though it also didn't deny the allegations. The deal also permanently enjoins the company from violating relevant sections of the Securities Act and Securities Exchange Act.An SEC penalty wasn't expected to be the focus -- numerous leaks had concentrated on the FTC's actions. However, the $100 million payout may reinforce worries from some senators and other critics that Facebook is receiving a light punishment that doesn't reflect the full scale of the company's actions. Millions of people had their data compromised, and the company didn't reveal this until years after the fact."
Shashank Verma,"Happiest while vacating office, worked sincerely: Kumaraswamy","Karnataka caretaker CM HD Kumaraswamy said that he is the ""happiest"" person while vacating the office as he worked sincerely despite several kinds of disturbances. He added that he worked to uplift the state in the last 14 months. HD Kumaraswamy on Tuesday resigned as Karnataka Chief Minister after losing the trust vote in the Assembly.",https://www.india.com/news/india/outgoing-karnataka-cm-hd-kumaraswamy-says-he-is-happy-to-have-got-opportunity-to-serve-people-3726561/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"After losing the trust vote on the floor of Karnataka Assembly, caretaker Chief Minister HD Kumaraswamy claimed that he was ‘happy’ since he got an opportunity to serve the people of the state for over a year.An NDTV report quoted Kumaraswamy, “I am the happiest person on this occasion. That’s because of how much I worked in the last 14 months to uplift this state. I worked sincerely despite several kinds of disturbances, and today, I am the happiest person while vacating my office.”The head of the Janata Dal (Secular)-Congress coalition, HD Kumaraswamy on Tuesday resigned as Karnataka Chief Minister an hour after losing the trust vote in the Assembly on the confidence motion he had moved on July 18 to prove majority.Accepting the resignation, the Governor asked Kumaraswamy to continue as the caretaker Chief Minister till alternative arrangements were made.Kumaraswamy lost the floor test by 6 votes after a four-day marathon debate on the motion that witnessed heated exchanges and acrimonious scenes in the House.“Chief Minister Kumaraswamy has lost the floor test, as 99 votes were in favour of the confidence motion and 105 against it,” Assembly Speaker K R Ramesh Kumar told the members of the House after the trust vote.Of the 225-member Assembly, 20 legislators were absent for the floor test, reducing the House strength to 205 with 103 as the halfway mark for a simple majority.In the division of votes, 99 were for the motion and 105 against it."
Shashank Verma,"Kejriwal revengeful, hampering CCTV fitting: AAP MLA Lamba","AAP MLA Alka Lamba accused Delhi CM Arvind Kejriwal of working with the intent to take revenge by hampering the CCTV installation work in her constituency. She added that this is affecting people's lives in her constituency and she won't let them be a victim of AAP's ""vendetta politics"". She said, she isn't afraid to fight for the people's rights.",https://www.aninews.in/news/national/politics/kejriwal-working-with-the-intent-to-take-revenge-alka-lamba20190724221117/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Aam Aadmi Party MLA Alka Lamba on Wednesday accused Chief Minister Arvind Kejriwal of hampering the CCTV installation work being carried out by her in her constituency.Delhi Chief Minister Arvind Kejriwal is working with the intent to take revenge which is affecting the lives of people in the Chandni Chowk Vidhan Sabha constituency. What kind of political example is AAP trying to set by hampering the CCTV installation work I started in the area,"" Lamba posted on Twitter In a subsequent tweet, she warned AAP that she was not afraid to fight the government to provide safety to the people in her constituency.""I will not let my people be a victim of AAP's vendetta politics, I am not afraid to fight the government for the safety and rights of my people. You will have to answer the people why you stopped the CCTV installation work, there is no difference left between you and other parties now,"" her next tweet read.This is not the first time Lamba has been at loggerheads with her party, she had earlier too accused AAP of sidelining her during the campaigning for the Lok Sabha elections Post the disastrous results for AAP in Delhi and other states in the general elections, Lamba had said she had been removed from the party's official Whatsapp group and termed it was the party's method of trying to pin the blame on her."
Shashank Verma,Maximum mob lynching in WB: Dilip Ghosh on celebs' letter to PM,"Speaking over a letter written by 49 celebrities to PM Narendra Modi, West Bengal BJP President Dilip Ghosh claimed that the maximum mob lynching is happening in Bengal. He said, ""Despite this, intellectuals from the state are making maximum noise."" Forty-nine celebrities, including actress Konkona Sensharma, have written the letter to PM, expressing concern over incidents of lynching in India.",https://www.aninews.in/news/national/politics/maximum-mob-lynching-in-bengal-dilip-ghosh20190724214318/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Reacting sharply to a letter written by 49 celebrities on the issue of mob lynching, West Bengal BJP president Dilip Ghosh on Wednesday alleged that maximum number of people are being lynched in West Bengal for 'Jai Shri Ram' chants.Speaking to ANI, Ghosh said, ""Maximum mob lynching is happening in Bengal. Most people are being lynched for saying Jai Shri Ram. Four party workers of BJP were killed and whosever is saying Jai Shri Ram is being lynched by a mob.""Cornering intellectuals over the issue, Ghosh added, ""Despite this, intellectuals from the state are making maximum noise. I ask these intellectuals to take a tour of the whole country and see the law and order situation and if after coming back they have any shame, they should protest against it.""As many as 49 celebrities from different fields including singer Shubha Mudgal, actor Konkona Sen Sharma and filmmakers Shyam Benegal, Anurag Kashyap and Mani Ratnam, among others, have written an open letter to Prime Minister Narendra Modi over incidents of lynching in the country.In the letter dated July 23, the celebrities have said that ""exemplary punishment"" should be meted out ""swiftly and surely"" in such cases."
Shashank Verma,Telangana BJP launches 'BJP4TS' app as part of membership drive,"Telangana BJP has launched an app named ""BJP4TS"" as part of the membership drive in the state, party leader Bandaru Dattatreya said. He added that ""primary members"" can register themselves and become ""active members"" of the party through this app. Dattatreya said, if any active member provides 50 memberships through the app, then they'll be offered posts by the party.",https://www.aninews.in/news/national/politics/telangana-bjp-launches-bjp4ts-app-as-part-of-membership-drive20190725023153/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"In a bid to intensify the membership drive in the state, Telangana BJP here on Wednesday launched the BJP 4TS"" app.Former Union Minister and senior BJP leader Bandaru Dattatreya said that the party is trying to double the number of members in the state.""We have launched "" BJP 4TS"" App today in the BJP state office as part of the membership drive. Through this app, people can directly register themselves and become active members. If any active member provides fifty memberships through the app, then they will be offered posts by the party. Today BJP is the biggest party in India. There are 11 crore members and in Telangana, there are 18 lakh members. We are trying to double that figure and make it 36 lakhs,"" he said while talking to ANI.""Till now 4.5 lakh new members have been inducted and we are confident that till August 11, we will reach the figure of 36 lakh members in Telangana. Through this, the BJP will grow in the state,"" he added."
Kanishka Pandey,WeWork looking to go public as early as September: Report,"Co-working space startup WeWork is reportedly looking to go public as early as September, earlier than previously assumed, and is expected to make its IPO paperwork public in August. The startup is also reportedly looking to raise $5-6 billion through a bond offering before the IPO. Founded in 2010, the SoftBank-backed startup was valued at $47 billion in January.",https://www.reuters.com/article/us-wework-ipo/wework-looking-to-go-public-as-early-as-september-source-idUSKCN1UJ001?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"The company is expected to make its initial public offering paperwork public in August, the person said. The developments were first reported earlier by the Wall Street Journal. WeWork declined to comment. WeWork will host an analyst day for Wall Street banks on July 31 as part of preparations for its IPO, Reuters reported last week. WeWork is also looking to raise $5 billion to $6 billion through a bond offering before the IPO, the source added, requesting anonymity because the matter is private. This is more than it had previously been looking to raise. The debt offering could provide comfort to those investing in the IPO who might be concerned that the cash burn at WeWork is so great it will need to raise more money after the initial offering, which would dilute their shareholdings. “That’s a very known psychology by underwriters and IPO investors, and (that fear), that’s something people try to guard against,” said Adam Troso, head of real estate corporate advisory at Greenhill & Co in New York. WeWork was recently valued at $47 billion in a private fundraising round, making it one of the most valuable private companies in the world. However, the money-losing company has faced questions about the sustainability of its business model, which is based on short-term revenue agreements and long-term loan liabilities. The losses at WeWork’s parent company narrowed slightly in the first quarter of 2019 to $264 million as revenue continues to double annually."
Kanishka Pandey,26 million-year-old species of vine snake found in Western Ghats,"Researchers have discovered a new vine snake species, believed to have evolved around 26 million years ago, in the southern Western Ghats. The species, 'Proahaetulla antiqua', was first discovered in 2011 and looked similar to 'Ahaetulla dispar', a small-sized vine snake with similar morphological characters. The new species faces no major extinction threats at the moment, researchers revealed.",https://researchmatters.in/news/researchers-discover-new-species-vine-snake-western-ghats-dates-back-26-million-years?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Tracing history is a tedious task. We decipher millions of clues along the way before getting to what we seek. Sometimes, nature is benevolent and throws up an entire book of history right in front—a history of not just a few centuries, but of millions of years! That's what happened when a group of herpetologists bumped into a vine snake, which they now call Proahaetulla antiqua. ""In 2011, we came across a vine snake in the Agasthyamalai hills that looked very similar to Ahaetulla dispar, a small-sized vine snake in the region with similar morphological characters.  We immediately recognised it as a new species of vine snake but did not realise that it was as deeply divergent as it turned out to be,"" explains Dr A.K. Mallik from IISc, who is the lead author of the study. The team of researchers, from the Indian Institute of Science, Bengaluru were attempting to study and classify snakes in the Western Ghats systematically. That's when they came across Proahaetulla antiqua, which is endemic to the southern Western Ghats. What's more interesting is that it is an ancient species, thought to have evolved around 26 million years ago during the mid-Oligocene. “We carried out extensive field visits across India to collect morphological data, tissue samples and specimens to understand the patterns of distribution and diversification of vine snake species”, says Dr Mallik. In a study published in the journal PLOS ONE in collaboration with researchers from Chennai Snake Park, Chennai and Bombay Natural History Society, Mumbai, the team has described the unique features of this snake. The study was funded by the Department of Biotechnology, Ministry of Environment, Forests and Climate Change, DBT-IISc Partnership Programme and the Critical Ecosystem Partnership Fund. Vine snakes get their names because of their slender bodies and vine-like appearances. While there are similar species in Africa and South America, the Asian vine snakes, distributed throughout Asia, belong to the genus Ahaetulla. In India, there are four species of commonly distributed vine snakes, and another one was discovered in Odisha recently. When the researchers studied the evolutionary tree of Proahaetulla antiqua, they discovered that this species had diverged from the other vine snakes about 26 million years ago. Thus, they are not only a new species but also belong to a new genus. They are named after the Latin words 'antiqua', meaning 'old or ancient'. The common name suggested for these individuals is 'keeled vine snake'. ""In addition to its high genetic divergence, the new genus, Proahaetulla, is different morphologically from closely related species. There are differences in the post-ocular scales have serrated keels on dorsal scales, a higher number of maxillary teeth, dorsal scales, ventral shields and subcaudal shields. They are also longer than others vine snakes, which are distributed sympatrically in the Western Ghats"" says Dr Mallik about the appearance of the new species. The researchers have described the new species from two individuals found in the protected habitats of the Kalakkad Mundanthurai Tiger Reserve in Tamil Nadu and the Shendurney Wildlife Sanctuary in Kerala, both located in the southern Western Ghats. ""Both individuals were found in protected areas, and this species is likely to be restricted to a small range in the southern Western Ghats"", says Dr Mallik. The discovery not only helps us know more about the evolution of vine snakes but also the evolutionary history of the Western Ghats, a landmass older than the Himalayas. In India, the field of herpetology is evolving and we are now beginning to decipher the diversity and evolutionary history of reptiles like snakes found here. Although the Western Ghats has been one of the most explored landscapes since the colonial era, how is it that such an ancient species went unnoticed until now? “One possible reason might be the lack of interest in taxonomic studies in general. Systematic studies need large-scale field surveys and financial support, which are lacking. Secondly, as Proahaetulla is superficially similar to Ahaetulla dispar (Gunther's vine snake), it is possible that most individuals encountered by others were misidentified as A. dispar,” shares Dr Mallik. The discovery of an ancient species like Proahaetulla antiqua brings to light the diversity lurking in the country.""There are many more species waiting to be discovered before going extinct due to development"", says Dr Mallik.The good news is that the new species faces no major threats at the moment.Highly misinterpreted and misunderstood, snakes are both worshipped and threatened across India.""Many snakes play a vital role in the ecology of the region where they are found. Snakes are important predators, and often keep prey populations such as rodents under control. Hence, there needs to be more awareness about the importance of snakes in ecosystems, and their benefits to us,"" signs off Dr Mallik."
Shashank Verma,6 arrested for illegal mining of coloured stones in Andhra,"Six persons were arrested by the forest department officials in connection with illegal mining of coloured stones in Andhra Pradesh's Visakhapatnam, police said. The police seized two crowbars, few nets for filtration and 21 coloured stones weighing 7.6 grams from their possession. A country-made weapon along with two bows and three arrows were also seized, the police added.",https://www.aninews.in/news/national/general-news/andhra-6-held-in-connection-with-illegal-mining-of-coloured-stones20190724225705/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"The forest department officials arrested six persons in connection with their involvement in illegal mining of coloured stones here at Siganapalli mines of Chintapalli Mandal on Tuesday, police said.The six accused identified as S Nooka Raj, K Raja Babu, D Venakatesh, V Samuel, K Chandar Rao and K Kalyan Rao were presented in the Narsipatnam court Wednesday morning.K Kaviti Naidu, Chintappalli forest in-charge officer, said: ""During a regular visit, police found six men who were carrying out an illegal hunt for coloured stones at Siganapalli mines. Immediately, the police team nabbed them and seized two crowbars, along with few nets for filtration and 21 coloured stones weighing 7.6 grams from their possession.""The country made weapon was seized along with two bows and three arrows. All the seized material has been handed over to the Chintapalli Station House Officer.The prime accused S Nooka Raju, a native of Chintapalli village, said that he had hired five arrested persons to carry out illegal activities. A case has been registered and the accused were sent to remand."
Shashank Verma,LeT militant carrying ?5 lakh reward arrested in J&K,"In a joint operation, police and 26 Rashtriya Rifles arrested a Lashkar-e-Taiba (LeT) militant carrying ?5 lakh reward on his head in Jammu and Kashmir. The police said, the militant had previously been injured in an encounter with the Army and was on the run since then. The police recovered an AK series rifle and a magazine from his possession.",http://www.newindianexpress.com/nation/2019/jul/24/let-terrorist-carrying-rs-5-lakh-reward-arrested-in-jammu-and-kashmirs-doda-district-2008814.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"A Lashkar-e-Taiba (LeT) terrorist carrying a reward of Rs 5 lakh was arrested in a joint operation in the forest area of Jammu and Kashmir's Doda district on Wednesday, police said. Jamal-ud-din Gujjar, alias Abu Bakar, was arrested from Phagsoo forest in Thathri area in a joint operation of the police and the 26 Rashtriya Rifles following reliable information on the movement of militants, an official spokesman said. An AK-47 rifle and a magazine were recovered from Gujjar, who was operating in Kishtwar for the last one year, he said. Gujjar’s arrest is a major breakthrough in view of the recent targeted killings in the district, the official said."
